"","folder","n_taxa"
"1","data/0.2-0-0-0.1/1",3
"2","data/0.2-0-0-0.1/2",2
"3","data/0.2-0-0-0.15/17",2
"4","data/0.2-0-0-0.15/18",3
"5","data/0.2-0-0-0.2/33",2
"6","data/0.2-0-0-0.2/34",2
"7","data/0.2-0-0.5-0.1/5",2
"8","data/0.2-0-0.5-0.1/6",5
"9","data/0.2-0-0.5-0.15/21",2
"10","data/0.2-0-0.5-0.15/22",5
"11","data/0.2-0-0.5-0.2/37",4
"12","data/0.2-0-0.5-0.2/38",2
"13","data/0.2-0-1-0.1/10",2
"14","data/0.2-0-1-0.1/9",2
"15","data/0.2-0-1-0.15/25",2
"16","data/0.2-0-1-0.15/26",2
"17","data/0.2-0-1-0.2/41",4
"18","data/0.2-0-1-0.2/42",14
"19","data/0.2-0-2-0.1/13",6
"20","data/0.2-0-2-0.1/14",11
"21","data/0.2-0-2-0.15/29",4
"22","data/0.2-0-2-0.15/30",2
"23","data/0.2-0-2-0.2/45",3
"24","data/0.2-0-2-0.2/46",4
"25","data/0.2-0.15-0-0.1/3",2
"26","data/0.2-0.15-0-0.1/4",5
"27","data/0.2-0.15-0-0.15/19",2
"28","data/0.2-0.15-0-0.15/20",3
"29","data/0.2-0.15-0-0.2/35",3
"30","data/0.2-0.15-0-0.2/36",7
"31","data/0.2-0.15-0.5-0.1/7",2
"32","data/0.2-0.15-0.5-0.1/8",3
"33","data/0.2-0.15-0.5-0.15/23",3
"34","data/0.2-0.15-0.5-0.15/24",2
"35","data/0.2-0.15-0.5-0.2/39",3
"36","data/0.2-0.15-0.5-0.2/40",2
"37","data/0.2-0.15-1-0.1/11",2
"38","data/0.2-0.15-1-0.1/12",3
"39","data/0.2-0.15-1-0.15/27",2
"40","data/0.2-0.15-1-0.15/28",2
"41","data/0.2-0.15-1-0.2/43",3
"42","data/0.2-0.15-1-0.2/44",2
"43","data/0.2-0.15-2-0.1/15",10
"44","data/0.2-0.15-2-0.1/16",6
"45","data/0.2-0.15-2-0.15/31",5
"46","data/0.2-0.15-2-0.15/32",4
"47","data/0.2-0.15-2-0.2/47",9
"48","data/0.2-0.15-2-0.2/48",2
